Product ID,ProductCode,Name,Dealer Feature ID(s),Addon/Base,Base is Required (Technical Dependency Provided)
01t4z00000AB3yhAAD,SVC-AUTOINTEL,Automotive Intelligence Package - Pro,SVC-AUTOINTEL,A,ILMEnabled
01t4z00000AB3yiAAD,SVC-FLICKFUSION-VIDCOMM,FlickFusion VidComm,SVC-FLICKFUSION:VIDCOMM,A,ILMEnabled
01t4z00000AB3yjAAD,SVC-VINATTACH,VinMobile IDScan plus Attachments - Plus,SVC-VINSCAN AND SVC-VINATTACH,A,ILMEnabled
01t4z00000AB3ymAAD,SVC-AMPBYVIN,Automotive Marketing Platform powered by VinSolutions (Direct Email Campaign),SVC-TARGETELITEWMS AND SVC-TARGETPRO AND SVC-DESKING1,A,ILMEnabled
01t4z00000AB3ypAAD,SVC-VINATTACH,VinMobile IDScan plus Attachments - Core,SVC-VINSCAN AND SVC-VINATTACH,A,ILMEnabled
01t4z00000AB3ywAAD,SVC-AUTOINTEL,Automotive Intelligence Package - Premium,SVC-AUTOINTEL,A,ILMEnabled
01t4z00000AB3yxAAD,SVC-TARGETPLUS,Target Pro Plus,SVC-TARGETPLUS,A,ILMEnabled
01t4z00000AB3yyAAD,SVC-VINSCAN,VinMobile IDScan,SVC-VINSCAN,A,ILMEnabled
01t4z00000AB3yzAAD,SVC-AUTOINTEL,Predictive Insights,SVC-AUTOINTEL,A,ILMEnabled
01t4z00000AB3z1AAD,SVC-SURVEYS1,Survey Module,SVC-SURVEYS1,A,ILMEnabled
01t4z00000AB3z2AAD,SVC-VINIDSCANATTACH,VinMobile IDScan plus Attachments,SVC-VINATTACH AND SVC-VINSCAN,A,ILMEnabled
01t4z00000AB3z4AAD,SVC-CALLTRKG40K,Call Tracking 40K Minutes,SVC-CALLTRKG40K,A,ILMEnabled
01t4z00000AB3z6AAD,SVC-CALLTRKG20K,Call Tracking 20K Minutes,SVC-CALLTRKG20K,A,ILMEnabled
01t4z00000AB3z7AAD,SVC-FACEBOOK-INTGR,Facebook Messaging CRM Integration Only,SVC-FACEBOOK-MSG,A,ILMEnabled
01t4z00000AB3z8AAD,SVC-VINESSA-VIRTUAL-ASSIST,Vinessa Virtual Assistant - Premium,SVC-VINESSA,A,ILMEnabled
01t4z00000AB3zNAAT,SVC-DEALPUSH,Deal Push,SVC-DEALPUSH,A,ILMEnabled
01t4z00000AB3zZAAT,SVC-MISC,700 Credit Inc,SVC-MISC,A,ILMEnabled
01t4z00000APUjwAAH,SVC-PBX-CALL-RECORDING,PBX with Call Recording,SVC-PHONSYIN,A,ILMEnabled
01t4z00000APUu1AAH,SVC-HEADLESSCRM,Headless CRM,SVC-AMPSTANDALONE AND SVC-TARGETELITEWMS AND SVC-DESKING1 AND SVC-TARGETPRO,S,
01t4z00000AQAA8AAP,SVC-AMP-EMAIL-DEDICATEDIP,AMP Email Dedicated IP,SVC-AMP-EMAIL-DEDICATEDIP,A,ILMEnabled
01tPe000006aDzpIAE,SVC-GenAI,Generative AI,SVC-GenAI AND SVC-AUTOINTEL ,A,ILMEnabled
01tPe000006uGLBIA2,SVC-GenAI,Predictive Insights with Gen AI,SVC-GenAI AND SVC-AUTOINTEL ,A,ILMEnabled
01t4z00000AABRjAAP,SVC-TARGETELITEWMS,Target Elite w/Managed Services,SVC-TARGETELITEWMS,A,ILMEnabled
